Code,Title,Description\n
name,Name,Applicable to informationOnManagerailStaff and candidate and employer Requirement Groups\n
totalWorkExperienceInYears,Total Work Experience In Years,Applicable to informationOnManagerailStaff Requirement Groups\n
totalWorkExperienceInYearsInSimilarWorks,Total Work Experience In Years In Similar Works,Applicable to informationOnManagerailStaff Requirement Groups\n
totalWorkExperienceInYearsInSimilarWorksAsManager,Total Work Experience In Years In Similar Works As Manager,Applicable to informationOnManagerailStaff Requirement Groups\n
candidate,Candidate,Applicable to candidate Requirement Group. Prime or Alternate\n
dateOfBirth,Date Of Birth,Applicable to candidate Requirement Group\n
professionalQualifications,Professional Qualifications,Applicable to candidate Requirement Group\n
address,Address of the employer,Applicable to employer Requirement Group\n
jobTitleOfCandidate,Job Title Of Candidate,Applicable to employer Requirement Group\n
yearsWithThePresentEmployer,Years With The Present Employer,Applicable to employer Requirement Group\n
telephone,Telephone,Applicable to employer Requirement Group\n
contact,Contact,Applicable to employer Requirement Group\n
summaryOfTheProfessionalEducationAndTraining,Summary Of The Professional Education And Training,Applicable to educationalQualifications Requirement Group\n
summaryOfTheProfessionalExperienceOverTheLast10Years,Summary Of The Professional Experience Over The Last 10 Years,Applicable to professionalQualifications Requirement Group\n
equipmentTypeAndCharacteristics,Equipment Type And Characteristics,Applicable to equipmentCapacity Requirement Group\n
number,Number,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups\n
model,Model,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups\n
yearOfManufacture,Year Of Manufacture,Applicable to equipmentCapacity Requirement Group\n
capacity,Capacity,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups\n
source,Source,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups. The following abbreviation shall be used: O – owned; R – rented; L- leased; SM – specially manufactured\n
currentLocation,Current Location,Applicable to equipmentCapacity Requirement Group\n
detailsOfCurrentCommitments,Details Of Current Commitments,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups\n
nameOfOwner,Name Of Owner,Applicable to equipmentCapacity and manufacturingCapacity Requirement Groups\n
manufacturingLinesAndCharacteristics,Manufacturing Lines And Characteristics,Applicable to manufacturingCapacity Requirement Group\n
briefDescription,Brief Description,Applicable to manufacturingCapacity Requirement Group\n
yearOfInstallation,Year Of Installation,Applicable to manufacturingCapacity Requirement Group\n
currentStatus,Current Status,Applicable to manufacturingCapacity Requirement Group\n
currentCommitments,Current Commitments,Applicable to manufacturingCapacity Requirement Group\n
typeOfAccess,Type Of Access,Applicable to manufacturingCapacity Requirement Group\n
addressOfOwner,Address Of Owner,Applicable to manufacturingCapacity Requirement Group\n
nameOfContact,Name Of Contact,Applicable to manufacturingCapacity Requirement Group\n
titleOfContact,Title Of Contact,Applicable to manufacturingCapacity Requirement Group\n
telephoneOfContact,Telephone Of Contact,Applicable to manufacturingCapacity Requirement Group\n
faxOfContact,Fax Of Contact,Applicable to manufacturingCapacity Requirement Group\n
emailOfContact,E-mail Of Contact,Applicable to manufacturingCapacity Requirement Group\n
facility,Facility,Applicable to Technical facilities and measures for ensuring quality criterion\n
supplyChainManagementType,Supply Chain Management Type,Applicable to supplyChainManagement criterion\n
supplyChainManagementCharacteristics,Supply Chain Management Characteristics,Applicable to supplyChainManagement criterion\n
environmentalManagementMeasuresType,Environmental Management Measures Type,Applicable to supplyChainManagement criterion\n
environmentalManagementMeasuresCharacteristics,Environmental Management Measures Characteristics,Applicable to supplyChainManagement criterion\n
nameOfContract,Name Of Contract,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
valueIn,Value In,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
status,Status,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
role,Role,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
similarity,Similarity,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
timeForCompletionInMonths,Time For Completion In Months,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
notes,Notes,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder and forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
partner,Partner,Applicable to forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA and forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA and forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA Requirement Groups\n
certificateByQualityControlInstitutes,For supply contracts: certificate by quality control institutes,Applicable to forSupplyContractsCertificatesByQualityControlInstitutes criterion\n
certificatesByIndependentBodiesAboutQualityAssuranceStandards,Certificates by independent bodies about quality assurance standards,Applicable to certificatesByIndependentBodiesAboutQualityAssuranceStandards criterion\n
certificateByQualityControlInstitutesAboutEnvironmentalManagement,Certificates by independent bodies about environmental management systems or standards,Applicable to certificatesByIndependentBodiesAboutEnvironmentalManagementSystemsOrStandards criterion\n
allowanceOfChecks,Allowance Of Checks,Applicable to allowanceOfChecks criterion\n
